Name_domain,Product_name,Region,Country,Average_rating,Number_of_rates,Price,Type
Domaine Joillot,Bourgogne Hautes Côtes de Beaune Blanc 2017,Bourgogne Hautes-Côtes de Beaune,France,3.6,46,20.98,White
Tenuta Santa Maria di Gaetano Bertani,Valpolicella Classico Superiore 2020,Valpolicella Classico,Italy,3.9,178,20.98,Red
Tenute Perdarubia,Naniha Cannonau di Sardegna 2021,Cannonau di Sardegna,Italy,3.9,34,20.98,Red
Domaine des Lauriers,Bourgogne Pinot Noir 2020,Bourgogne,France,3.4,32,20.98,Red
Calabretta,GaioGaio 2019,Sicilia,Italy,3.8,198,20.98,Red
Roccapesta,Morellino di Scansano 2021,Morellino di Scansano,Italy,4.1,38,20.98,Red
Cà dei Frati,Ronchedone Rosso 2021,Lombardia,Italy,4.2,69,20.98,Red
Campo al Pero,Bolgheri Rosso 2020,Bolgheri,Italy,3.7,1135,20.98,Red
Domaine Vico,Le Bois du Cerf Red 2022,Corsica,France,3.6,80,20.98,Red
Georges Duboeuf,Morgon 2020,Morgon,France,3.6,203,20.98,Red
La Roncaia,Il Fusco 2017,Friuli-Venezia Giulia,Italy,3.9,670,20.98,Red
Les Crêtes,Pinot Nero 2022,Valle d'Aosta,Italy,3.6,1855,20.98,Red
Azienda Agricola Grillo,Merlot Riserva 2017,Colli Orientali del Friuli,Italy,3.9,66,20.98,Red
Schiopetto,Friulano del Pompiere 2021,Friuli-Venezia Giulia,Italy,3.9,28,20.98,White
Henri Bourgeois,Pouilly-Fumé En Travertin 2021,Pouilly-Fumé,France,4.1,353,20.99,White
Château Prieuré de Beyzac,Quintessence Haut-Médoc 2011,Haut-Médoc,France,3.9,26,21.0,Red
Petrucco,Ronco del Balbo Merlot 2018,Colli Orientali del Friuli,Italy,4.0,150,21.0,Red
Dominik Benz - Créateur de vin,Le Cavalier Syrah 2020,Ariege,France,3.9,46,21.0,Red
Les Vignerons du Sommiérois,Fleur Sauvage Sommières 2019,Sommières,France,4.0,69,21.0,Red
M. Chapoutier,Crozes-Hermitage Les Meysonniers 2020,Crozes-Hermitage,France,3.9,552,21.0,Red
Château Sociando-Mallet,La Demoiselle de Sociando-Mallet Haut-Médoc 2017,Haut-Médoc,France,3.7,466,21.0,Red
Domaine Ostertag,Les Vieilles Vignes de Sylvaner 2020,Alsace,France,4.0,122,21.0,White
Château La Cabanne,Domaine de Compostelle Pomerol 2015,Pomerol,France,3.9,74,21.0,Red
Château de Chantegrive,Graves 2018,Graves,France,4.1,184,21.0,Red
Moillard,Bourgogne Hautes-Côtes de Nuits Les Vignes Hautes 2020,Bourgogne Hautes-Côtes de Nuits,France,3.8,110,21.0,Red
Domaine l'Aiguelière,Tradition Montpeyroux 1999,Montpeyroux,France,3.6,75,21.0,Red
Thunevin-Calvet,Les Dentelles Côtes du Roussillon Villages 2020,Côtes du Roussillon Villages,France,4.0,900,21.0,Red
Domaine du Somail,L'Authentique 2018,Minervois,France,4.0,93,21.0,Red
Roucas Toumba,La Grande Terre Vacqueyras 2021,Vacqueyras,France,3.9,610,21.0,Red
Les Vins de Vienne - Cuilleron-Gaillard-Villard,Crozes-Hermitage 2019,Crozes-Hermitage,France,3.8,111,21.0,Red
Domaine Marcel Joubert,Morgon 'Côte du Py' 2021,Morgon,France,3.9,655,21.0,Red
Domaine Gachot-Monot,Bourgogne Rouge 2018,Bourgogne,France,3.7,38,21.0,Red
Alain Chabanon,Campredon 2016,Languedoc,France,3.9,105,21.0,Red
André Delorme,Rully 2020,Rully,France,3.8,343,21.0,Red
Château Canon Pécresse,Canon-Fronsac 2016,Canon-Fronsac,France,3.9,39,21.0,Red
Château Les Valentines,La Gourmande Bio Côtes de Provence La Londe 2017,La Londe,France,4.1,91,21.0,Red
Domaine Lafage,Fundació 2020,Côtes du Roussillon,France,4.0,671,21.0,Red
Château Canon Pécresse,Canon-Fronsac 2018,Canon-Fronsac,France,3.7,379,21.0,Red
Altomonte,Melfio Palizzi Rosso 2020,Palizzi,Italy,3.8,33,21.0,Red
L.Thienpont,Clos des Quatre Vents Margaux 2020,Margaux,France,4.1,674,21.0,Red
Clos Cantenac,Saint-Émilion Grand Cru 2019,Saint-Émilion Grand Cru,France,4.0,1419,21.0,Red
Domaine des Hauts Châssis,Les Galets Crozes-Hermitage 2021,Crozes-Hermitage,France,4.0,64,21.0,Red
Les Vignobles des Côtes d'Agly,Château Montner Premium Côtes du Roussillon Villages 2019,Côtes du Roussillon Villages,France,3.9,87,21.0,Red
William Fèvre,Petit Chablis 2021,Petit Chablis,France,3.9,48,21.0,White
VALENCISO,Rioja Blanco 2021,Rioja,Spain,4.2,211,21.0,White
Gerard Tremblay,Chablis Premier Cru 'Montmain' 2020,Chablis 1er Cru 'Montmains',France,4.0,28,21.0,White
Massaya,Le Colombier 2020,Bekaa Valley,Lebanon,4.0,144,21.0,Red
Matthias et Emile Roblin,Origine Sancerre Rosé 2022,Sancerre,France,3.8,58,21.0,Rose
Domaine Pfister,Breit Blanc de Blancs Extra Brut,Crémant d'Alsace,France,4.1,603,21.0,Sparkling
Mongarda,Col Fondo Frizzante 2021,Veneto,Italy,3.6,77,21.0,Sparkling
Ottella,Blanc de Blancs,Veneto,Italy,4.0,239,21.0,Sparkling
Hugel,Estate Gewürztraminer 2019,Alsace Grand Cru,France,4.1,28,21.0,White
Jean-Luc Colombo,Saint-Peray Sillon D'Argent 2018,Saint-Péray,France,3.9,38,21.0,White
Domaine Françoise & Denis Clair,Bourgogne Hautes-Côtes de Beaune Blanc 2016,Bourgogne Hautes-Côtes de Beaune,France,3.8,47,21.0,White
Antinori,Castello della Sala San Giovanni della Sala Classico Superiore 2021,Orvieto,Italy,4.1,825,21.0,White
Domaine De Longue Toque,Vacqueyras Rouge 2018,Vacqueyras,France,4.0,55,21.0,Red
Domaine Pique-Basse,L'Atout du Pique Côtes-du-Rhône-Villages 'Roaix' Blanc 2015,Côtes-du-Rhône-Villages 'Roaix',France,3.8,275,21.0,White
Louis Jadot,Domaine des Croix Perrières Bourgogne 2018,Bourgogne,France,3.7,113,21.0,Red
Saó del Coster,S 2016,Priorat,Spain,3.8,303,21.0,Red
Château L'Inclassable,Médoc 2015,Médoc,France,3.6,108,21.0,Red
Château L'Inclassable,Médoc 2016,Médoc,France,3.8,107,21.0,Red
Merlin,Moulin à vent 2014,Moulin-à-Vent,France,3.6,187,21.0,Red
Cosse Maisonneuve,La Fage Cahors 2019,Cahors,France,3.9,68,21.0,Red
Château Chauvin,Folie de Chauvin Saint-Émilion Grand Cru 2014,Saint-Émilion Grand Cru,France,3.8,118,21.0,Red
Château Tour Saint-Pierre,Saint-Émilion Grand Cru 2021,Saint-Émilion Grand Cru,France,3.9,1064,21.0,Red
Château Siran,S de Siran Margaux 2018,Margaux,France,3.9,111,21.0,Red
Château Grange-Neuve,Pomerol 2019,Pomerol,France,4.1,3469,21.0,Red
Le Mas des Flauzières,Four Danuga Gigondas 2021,Gigondas,France,4.0,588,21.0,Red
Cascina Melognis,Novamen Rosso 2019,Piemonte,Italy,3.5,143,21.0,Red
Château Sociando-Mallet,La Demoiselle de Sociando-Mallet Haut-Médoc 2020,Haut-Médoc,France,3.8,40,21.0,Red
Domaine Pfister,Berg Riesling 2021,Alsace,France,3.9,59,21.0,White
Dominik Benz - Créateur de vin,La Dame Chardonnay - Chenin 2021,Ariege,France,3.9,42,21.0,White
Château Roubine,Lion & Dragon Blanc 2020,Côtes de Provence,France,4.1,171,21.0,White
Tenuta San Vincenti,Chianti Classico 2020,Chianti Classico,Italy,3.7,677,21.0,Red
Château des Annereaux,Lalande-de-Pomerol 2019,Lalande-de-Pomerol,France,4.2,96,21.0,Red
Château de Fosse-Sèche,Eolithe 2020,Saumur,France,4.0,166,21.0,Red
Château Peyrabon,Château La Fleur Peyrabon Pauillac 2013,Pauillac,France,3.8,201,21.0,Red
Château Charmail,Haut-Médoc 2019,Haut-Médoc,France,3.9,181,21.0,Red
Michel & Stéphane Ogier,Viognier de Rosine 2018,Collines Rhodaniennes,France,3.9,287,21.0,White
M. Chapoutier,Crozes-Hermitage Les Meysonniers 2019,Crozes-Hermitage,France,3.9,1373,21.0,Red
Château de Malleret,Haut-Médoc 2016,Haut-Médoc,France,4.0,143,21.0,Red
Chateau du Grand Cardinal,Saint-Émilion Grand Cru 2016,Saint-Émilion Grand Cru,France,4.0,219,21.0,Red
Domaine Giachino,Black Giac 2020,Savoie,France,3.9,124,21.0,Red
Vincent Paris,Les Côtes Saint-Joseph 2021,Saint-Joseph,France,3.9,30,21.0,Red
Château Fourcas Hosten,Listrac-Médoc 2018,Listrac-Médoc,France,3.8,49,21.0,Red
Château Fonréaud,Le Cygne Bordeaux Blanc 2021,Bordeaux,France,4.1,95,21.0,White
Domaine Gachot-Monot,Bourgogne Rouge 2019,Bourgogne,France,3.9,30,21.0,Red
Château Doisy-Daëne,Bordeaux Blanc Sec 2020,Bordeaux,France,4.0,59,21.0,White
Château Rieussec,R de Rieussec 2015,Bordeaux,France,3.7,374,21.0,White
Château Corbin,XX de Corbin Saint-Émilion 2017,Saint-Émilion,France,4.0,586,21.0,Red
Château Ame de Musset,Lalande-de-Pomerol 2016,Lalande-de-Pomerol,France,4.0,33,21.0,Red
Terres Dorées,Grille Midi Fleurie 2020,Fleurie,France,4.0,29,21.0,Red
Castello Monaci,Salice Salentino Riserva Aiace 2020,Salice Salentino,Italy,4.0,1613,21.0,Red
Château Terre Vieille,Pécharmant 2019,Pécharmant,France,4.0,1003,21.0,Red
Camin Larredya,La Part Davant Jurançon Sec 2022,Jurançon Sec,France,4.0,1843,21.0,White
Domaine de la Prévoté - Bonnigal et Bodet Vignerons,Le Clocher Chenin 2022,Touraine-Amboise,France,4.0,334,21.0,White
Domaine de la Tour du Bon,Bandol Blanc 2022,Bandol,France,3.8,299,21.0,White
Château Jean Voisin,L’Esprit de Jean Voisin Saint-Émilion Grand Cru 2015,Saint-Émilion Grand Cru,France,4.0,75,21.0,Red
Château d'Aiguilhe,Castillon - Côtes de Bordeaux 2019,Castillon - Côtes de Bordeaux,France,4.0,221,21.0,Red
Chateau Cap St George,Saint-Georges-Saint-Émilion 2019,Saint-Georges-Saint-Émilion,France,3.9,1219,21.0,Red
Les Vignes Oubliées,Terrasses du Larzac 2021,Terrasses du Larzac,France,4.0,69,21.0,Red
Château Siran,S de Siran Margaux 2019,Margaux,France,3.8,27,21.0,Red
Château Prieuré-Lichine,Confidences de Prieuré-Lichine Margaux 2018,Margaux,France,3.9,266,21.0,Red
Clos Floridène,Graves Blanc 2016,Graves,France,3.8,596,21.0,White
Berthenet,Montagny 1er Cru 'Les Platières' 2021,Montagny 1er Cru 'Les Platieres',France,3.8,513,21.0,White
Pierre Talayrach,Lumière de Pierre 2022,Côtes Catalanes,France,4.1,68,21.0,White
Aurélien Chatagnier,Viognier 2022,Collines Rhodaniennes,France,3.9,147,21.0,White
Maxime-François Laurent,La Rubiconde 2020,Côtes-du-Rhône,France,3.9,347,21.0,Red
Château Doisy-Daëne,Bordeaux Blanc Sec 2018,Bordeaux,France,4.1,315,21.0,White
Domaine Courbis,Saint Péray Le Tram 2021,Saint-Péray,France,4.1,46,21.0,White
Holdvölgy,Vision Dry Selection 2018,Tokaj,Hungary,3.9,140,21.0,White
Domaine d'Elise,Chablis 2021,Chablis,France,3.8,42,21.0,White
Les Quatre Piliers,Chapitre I 2021,Vin de France,France,3.9,46,21.0,White
Clos Floridène,Graves Blanc 2018,Graves,France,3.9,249,21.0,White
Clos des Reboussiers,Blanc 2020,Vin de France,France,3.8,168,21.0,White
Domaine Cordier Père & Fils,Mâcon Milly-Lamartine 'Clos du Four' 2020,Mâcon-Milly-Lamartine,France,4.0,405,21.0,White
Roucas Toumba,Les Prémices Vacqueyras 2020,Vacqueyras,France,4.0,378,21.0,White
Mas del Périé - Fabien Jouves,Les Pièces Longue 2021,Vin de France,France,4.0,513,21.0,White
Domaine de Bellivière,Prémices Jasnières 2020,Jasnières,France,4.0,57,21.0,White
Domaine des Cotes Rousses,Armenaz 2020,Savoie,France,3.7,165,21.0,White
Domaine Robert Roth,Mittelbourg Lieu-Dit Riesling 2019,Alsace,France,3.7,91,21.0,White
Iuli,Natalin 2021,Piemonte,Italy,3.8,530,21.03,Red
Castelvecchio,Dileo Malvasia 2021,Friuli-Venezia Giulia,Italy,3.8,154,21.04,White
Brunel de la Gardine,Vacqueyras 2021,Vacqueyras,France,3.8,325,21.06,Red
Viu Manent,La Capilla Estate Cabernet Sauvignon 2012,Colchagua Valley,Chile,3.8,734,21.06,Red
Marco Felluga,Varneri Collio Merlot 2020,Collio,Italy,3.6,701,21.08,Red
Sylvain Gaudron,Gilles Gaudron Les Vaux Louis Vouvray Chenin Blanc 2019,Vouvray,France,4.0,32,21.08,White
Gorelli,Brigo Sangiovese 2019,Toscana,Italy,3.9,75,21.08,Red
Karlsmühle,Lorenzhöfer Riesling Kabinett Trocken 2019,Mosel,Germany,3.8,168,21.08,White
Valle Reale,Montepulciano d'Abruzzo 2021,Montepulciano d'Abruzzo,Italy,4.0,193,21.08,Red
Di Majo Norante,Tintilia Riserva 2020,Molise,Italy,3.9,44,21.08,Red
Conde,Laguna di Sopra Chardonnay 2022,Lugana,Italy,3.8,132,21.08,White
Tenuta dell'Argentaia,Monnallegra 2022,Maremma Toscana,Italy,4.0,94,21.08,White
Giorgio Meletti Cavallari,Borgeri Rosso 2022,Bolgheri,Italy,3.8,1964,21.08,Red
Costers del Priorat,Petit Pissarres 2019,Priorat,Spain,3.9,688,21.08,Red
Longariva,Quartella Cabernet Vigneti delle Dolomiti Riserva 2016,Vigneti delle Dolomiti,Italy,3.9,233,21.08,Red
Caiarossa,Pergolaia 2018,Toscana,Italy,3.8,281,21.08,Red
Falkenstein,Weissburgunder 2018,Südtirol - Alto Adige,Italy,3.9,76,21.08,White
Somlói Apátsági Pince,Olaszrizling 2018,Nagy-Somló,Hungary,4.1,71,21.1,White
Cantine Astroni,Colle Imperatrice Campi Flegrei Falanghina 2020,Campi Flegrei,Italy,3.8,54,21.1,White
Château Pajzos,Tokaj Dry Selection 2020,Tokaj,Hungary,3.8,152,21.1,White
Antoine Van Remoortere,Menetou-Salon Blanc 2020,Menetou-Salon,France,4.0,138,21.1,White
Somlói Apátsági Pince,Tramini 2018,Nagy-Somló,Hungary,3.9,62,21.1,White
Kovács Nimród,Rhapsody Monopole 2018,Eger,Hungary,4.0,774,21.1,Red
Veuve Michel,Coteaux du Salagou 2018,Languedoc-Roussillon,France,3.7,72,21.1,Red
Domaine du Mont-Epin,Breillonde Viré-Clessé 2022,Viré-Clessé,France,4.0,221,21.1,White
Bruno Dangin,Prestige de Narcès 2020,Crémant de Bourgogne,France,4.3,242,21.1,Sparkling
Anne-Sophie Pic et Michel Chapoutier,Saint-Péray 2022,Saint-Péray,France,3.9,320,21.1,White
Diemersfontein,The Original Pinotage 2021,Wellington,South Africa,4.0,61,21.11,Red
Thokozani,Shiraz - Mourvedre - Viognier 2019,Coastal Region,South Africa,4.1,372,21.11,Red
Diemersfontein,Cabernet Sauvignon 2015,Wellington,South Africa,3.7,59,21.11,Red
Tenuta Macchiarola,Don Franco Negroamaro 2022,Puglia,Italy,3.6,120,21.12,Red
Bodega El Porvenir de Cafayate,Laborum Single Vineyard Torrontés Oak Fermented 2021,Cafayate Valley,Argentina,4.0,425,21.14,White
Montes,Montes Alpha Cabernet Sauvignon 2019,Colchagua Valley,Chile,3.9,2537,21.14,Red
Domaine de l'Enchantoir,Le Refuge de Chavannes Saumur 2018,Saumur,France,4.2,58,21.15,White
Cappella Sant Andrea,Rialto Vernaccia di San Gimignano 2020,Vernaccia di San Gimignano,Italy,3.9,198,21.18,White
Rémy Gresser,Sylvaner 'Duttenberg' 2019,Alsace,France,3.8,37,21.18,White
Cappella Sant Andrea,Rialto Vernaccia di San Gimignano 2021,Vernaccia di San Gimignano,Italy,3.9,198,21.18,White
Criserà,Scilla Rosso 2022,Scilla,Italy,3.6,149,21.18,Red
Salomon Undhof,Von den Terrassen Riesling 2021,Kremstal,Austria,4.1,184,21.18,White
Zuc di Volpe,Ribolla Gialla 2020,Colli Orientali del Friuli,Italy,3.5,311,21.18,White
Waberer,Roter Muskateller 2021,Weinviertel,Austria,4.1,118,21.18,White
Domaine de la Tour - Domaine Joblot Fabrice,Montagny 1er Cru Chardonnay 2017,Montagny Premier Cru,France,3.9,442,21.19,White
Vignaiolo Fanti,Pritianum 2022,Vigneti delle Dolomiti,Italy,3.9,109,21.2,White
Belena,Le Renard de La Combe Vieilles Vignes Bourgogne Hautes-Côtes de Beaune 2020,Bourgogne Hautes-Côtes de Beaune,France,3.7,64,21.2,Red
Lucien Crochet,La Croix du Roy Sancerre Blanc 2017,Sancerre,France,3.9,150,21.2,White
Château de Lamarque,Haut-Médoc 2014,Haut-Médoc,France,4.1,61,21.2,Red
Les Jamelles,Les Traverses Mourvèdre 2020,Pays d'Oc,France,4.1,54,21.2,Red
Innocent Bystander,Pinot Noir 2019,Yarra Valley,Australia,3.6,563,21.2,Red
Enrico Santini,Poggio al Moro 2020,Bolgheri,Italy,3.9,1792,21.2,Red
Château Bellegrave,Les Sieurs de Bellegrave Pauillac 2018,Pauillac,France,3.9,467,21.2,Red
Abbotts & Delaunay,Alto Stratus 2015,Minervois,France,4.0,40,21.2,Red
Château du Couvent,Pomerol 2020,Pomerol,France,4.0,33,21.2,Red
Hummel,Villányi Portugieser 2021,Villány,Hungary,3.6,340,21.2,Red
Château Ducru-Beaucaillou,Madame de Beaucaillou Haut-Médoc 2020,Haut-Médoc,France,3.7,28,21.2,Red
Vignaiolo Fanti,Chardonnay 2022,Vigneti delle Dolomiti,Italy,3.7,62,21.2,White
Les Jamelles,Sélection Parcellaire Vallée de la Bretonne Syrah 2020,Pays d'Oc,France,4.3,90,21.2,Red
Les Jamelles,Le Beillou Carignan 2019,Pays d'Oc,France,4.0,115,21.2,Red
La Perrière,Sancerre Rouge 2020,Sancerre,France,4.1,147,21.2,Red
Domaine la Bouissiere,Gigondas 2020,Gigondas,France,4.1,120,21.2,Red
Château Vieux Coutelin,Saint-Estèphe 2017,Saint-Estèphe,France,4.2,74,21.22,Red
Morra Gabriele,Memorie Rosso 2022,Piemonte,Italy,3.8,37,21.23,Red
Domaine des Tourelles,Rouge 2019,Bekaa Valley,Lebanon,3.7,255,21.25,Red
Château Malartic-Lagravière,Le Comte 2019,Pessac-Léognan,France,4.0,75,21.25,Red
Château La Tour de Mons,Margaux 2019,Margaux,France,4.0,245,21.25,Red
Château des Roques,Vertige des Gouttes Vacqueyras 2017,Vacqueyras,France,4.2,135,21.26,Red
Château des Roques,Vertige des Gouttes Vacqueyras 2019,Vacqueyras,France,4.2,135,21.26,Red
Tenuta S. Lucia,Blanc de Noir 2018,Emilia-Romagna,Italy,3.9,87,21.28,Sparkling
Guy Saget,Crémant De Loire Murano,Crémant de Loire,France,3.7,105,21.28,Sparkling
Musso,Langhe Nebbiolo 2021,Langhe,Italy,3.8,470,21.28,Red
Musso,Langhe Pinot Nero 2020,Langhe,Italy,3.8,121,21.28,Red
Boroli,1661 Nebbiolo 2021,Langhe,Italy,3.8,75,21.28,Red
Oddero,Nebbiolo Langhe 2021,Langhe,Italy,3.9,75,21.28,Red
Schiopetto,Collio Sauvignon 2016,Collio,Italy,3.9,216,21.28,White
Musso,Langhe Chardonnay 2019,Langhe,Italy,3.9,58,21.28,White
Zuc di Volpe,Sauvignon 2021,Colli Orientali del Friuli,Italy,3.9,61,21.28,White
Boroli,1661 Nebbiolo 2022,Langhe,Italy,4.0,229,21.28,Red
Boroli,Belamì Chardonnay Langhe 2021,Langhe,Italy,3.8,28,21.28,White
La Colombera - Piercarlo Semino,Derthona 2021,Colli Tortonesi,Italy,4.1,154,21.3,White
E. Guigal,Saint-Joseph Blanc 2019,Saint-Joseph,France,3.8,98,21.3,White
Cascina Val del Prete,Roero Arneis Luèt 2022,Roero,Italy,3.6,345,21.3,White
Château Haut Gleon,Corbiéres Blanc 2020,Corbières,France,4.0,288,21.3,White
Château Haut Gleon,Corbiéres Rouge 2018,Corbières,France,4.0,48,21.3,Red
Carpineto,Chianti Classico Riserva 2017,Chianti Classico,Italy,3.9,1075,21.32,Red
Château la Haye,Cuvée le Cèdre Saint-Estèphe 2015,Saint-Estèphe,France,3.6,26,21.34,Red
Chateau Ste. Michelle,Chardonnay 2020,Columbia Valley,United States,3.7,1863,21.36,White
Condado de Haza,Crianza Ribera del Duero 2020,Ribera del Duero,Spain,3.9,330,21.37,Red
Château Grand Village,Bordeaux Supérieur 2010,Bordeaux Supérieur,France,3.0,26,21.37,Red
Sébastien Treuillet,Pouilly-Fumé 2022,Pouilly-Fumé,France,4.0,59,21.37,White
Emrich-Schönleber,Lenz Riesling 2021,Nahe,Germany,3.9,681,21.37,White
Tre Monti,Piuttosto Trebbiano Macerato 2020,Emilia-Romagna,Italy,4.0,68,21.37,White
Montaribaldi,Dü Gir Barbera d'Alba 2020,Barbera d'Alba,Italy,4.0,944,21.37,Red
Celler del Roure,Parotet 2020,Valencia,Spain,3.8,68,21.37,Red
Graham Beck,Brut Rosé (Chardonnay - Pinot Noir) 2018,Robertson,South Africa,3.9,32,21.37,Sparkling
Saint Clair Family Estate,Pioneer Block 17 Plateau Cabernet - Merlot 2020,Marlborough,New Zealand,3.8,140,21.37,Red
Remelluri,Lindes de Remelluri Viñedos de San Vicente 2019,Rioja,Spain,4.1,160,21.37,Red
Bibi Graetz,Toscana Casamatta Bianco 2021,Toscana,Italy,3.7,84,21.37,White
Graham Beck,Brut Rosé (Chardonnay - Pinot Noir) 2017,Robertson,South Africa,3.8,63,21.37,Sparkling
Apostelhoeve,Müller Thurgau (Louwberg Maastricht) 2022,Limburg,Netherlands,4.0,56,21.37,White
Eve & Michel Rey,Mâcon-Vergisson 'La Roche' 2021,Mâcon-Vergisson,France,4.0,177,21.37,White
Domaine Romy,Clos de la Chapelle 2020,Bourgogne,France,3.7,36,21.37,White
Sybille Kuntz,Riesling Kabinett Trocken 2021,Mosel,Germany,3.9,46,21.37,White
Cepa 21,Ribera del Duero Tinto 2020,Ribera del Duero,Spain,4.1,313,21.37,Red
Bibi Graetz,Casamatta Toscana Rosso 2020,Toscana,Italy,3.7,658,21.37,Red
Remelluri,Lindes de Remelluri Viñedos de Labastida 2018,Rioja,Spain,3.9,654,21.37,Red
Spier,21 Gables Sauvignon Blanc 2019,Cape Town,South Africa,3.9,305,21.37,White
Wittmann,Riesling Trocken 2022,Rheinhessen,Germany,3.9,335,21.37,White
Naia,Fermentado en Barrica Limited Edition 2015,Rueda,Spain,4.1,45,21.37,White
Château Pré La Lande,Terra Cotta Red 2017,Sainte-Foy-Bordeaux,France,4.1,41,21.37,Red
Rapaura Springs,Reserve Marlborough Sauvignon Blanc 2022,Marlborough,New Zealand,4.2,94,21.37,White
Quinta do Ameal,Solo 2019,Vinho Verde,Portugal,3.9,79,21.37,White
Claudio Cipressi,Le Scoste 2022,Molise,Italy,3.7,139,21.37,White
Domaine Anne Gros & Jean-Paul Tollot,La 50/50 2020,Côtes du Brian,France,4.0,224,21.37,Red
Azienda Agricola Grillo,Schioppettino di Prepotto 2019,Colli Orientali del Friuli,Italy,3.8,572,21.38,Red
Lunae,Terre Ferme Pigato 2022,Riviera Ligure di Ponente,Italy,3.7,572,21.38,White
Diel,Nahesteiner Riesling Trocken 2020,Nahe,Germany,3.9,107,21.38,White
Brunnenhof Mazzon,Lagrein Alte Reben 2021,Südtirol - Alto Adige,Italy,4.0,430,21.38,Red
Garofoli,Serra Fiorese Verdicchio Dei Castelli Di Jesi Riserva Classico 2019,Verdicchio dei Castelli di Jesi Riserva,Italy,3.9,937,21.38,White
Dr. Bürklin-Wolf,Riesling Trocken 2021,Pfalz,Germany,3.8,340,21.38,White
Ken Forrester,Petit Chenin Blanc 2022,Stellenbosch,South Africa,3.6,214,21.38,White
Brunnenhof Mazzon,Eva 2021,Mitterberg,Italy,3.8,222,21.38,White
Domaine Viticole de la Ville de Colmar,Hospices de Colmar Riesling 2019,Alsace,France,3.9,68,21.38,White
Oddero,Langhe Rosato 2021,Langhe,Italy,3.7,64,21.38,Rose
Longariva,Collina Zinzèle Pinot Nero 2020,Trentino,Italy,3.9,130,21.38,Red
Palazzo Vecchio,Vino Nobile di Montepulciano 2019,Vino Nobile di Montepulciano,Italy,3.8,265,21.39,Red
Conti Sertoli Salis,Grumello Valtellina Superiore 2019,Valtellina Superiore,Italy,3.4,321,21.39,Red
Paul Jaboulet Aîné,Gigondas Pierre Aiguille 2019,Gigondas,France,3.8,202,21.39,Red
Château Baret,Pessac Leognan Blanc 2017,Pessac-Léognan,France,4.0,51,21.39,White
Yves Cuilleron,Anciens Cépages Petite Serine 2020,Rhone Valley,France,3.9,43,21.4,Red
TerraQuilia,Malbone 2018,Emilia,Italy,3.3,91,21.4,Red
Corte Sant'Alda,Vigne di Mezzane Soave 2021,Soave,Italy,3.8,42,21.4,White
Venica & Venica,Merlot 2020,Collio,Italy,3.8,697,21.4,Red
Château de Meuilley,Les Jamées Bourgogne Hautes-Côtes de Nuits 2021,Bourgogne Hautes-Côtes de Nuits,France,3.7,124,21.4,Red
Yves Cuilleron,Labaya Crozes-Hermitage 2021,Crozes-Hermitage,France,4.0,58,21.4,Red
Pravis,Madruzzo Pinot Nero 2020,Vigneti delle Dolomiti,Italy,3.8,379,21.4,Red
Murgo,Brut 2021,Terre Siciliane,Italy,3.9,36,21.4,Sparkling
Paul Jaboulet Aîné,Gigondas Pierre Aiguille 2020,Gigondas,France,4.1,29,21.4,Red
Manuel Olivier,Chardonnay Bourgogne Hautes-Côtes de Nuits 2021,Bourgogne Hautes-Côtes de Nuits,France,3.9,33,21.4,White
Tercic,Friulano 2018,Friuli Isonzo,Italy,3.7,30,21.4,White
Domaine de Chaude Écuelle,Chablis 2020,Chablis,France,4.1,173,21.4,White
Olivier Morin,Olympe Bourgogne Chitry Blanc 2018,Bourgogne,France,4.0,151,21.4,White
Domaine Sylvain Morey,Bourgogne Aligoté 2021,Bourgogne Aligoté,France,4.0,127,21.4,White
Yves Cuilleron,Crozes-Hermitage Les Rousses 2022,Crozes-Hermitage,France,4.0,510,21.4,White
Arteteke Wines,Ianghe Bianco 2020,Basilicata,Italy,4.0,91,21.41,White
Sassopra Winery,Turresti 2022,Lazio,Italy,4.1,30,21.41,White
Arteteke Wines,Russë 2020,Aglianico del Vulture,Italy,3.7,124,21.41,Red
Château La Croix de Marbuzet,Saint-Estèphe 2018,Saint-Estèphe,France,4.0,221,21.41,Red
Tenuta Monteloro,Villa Antinori Pinot Bianco 2021,Toscana,Italy,3.9,137,21.42,White
Château Côte Puyblanquet,Saint-Émilion Grand Cru 2016,Saint-Émilion Grand Cru,France,3.8,50,21.44,Red
Creation,Viognier 2021,Walker Bay,South Africa,3.8,122,21.44,White
Château Côte Puyblanquet,Saint-Émilion Grand Cru 2015,Saint-Émilion Grand Cru,France,3.6,190,21.44,Red
Brezza,Santa Rosalia Nebbiolo d'Alba 2018,Nebbiolo d'Alba,Italy,3.7,98,21.45,Red
Tenuta di Ghizzano,Il Ghizzano Bianco 2019,Costa Toscana,Italy,3.7,28,21.45,White
Ampeleia,Rosato di Ampeleia 2021,Maremma Toscana,Italy,3.8,101,21.45,Rose
Blank Canvas,Holdaway Vineyard Sauvignon Blanc 2022,Marlborough,New Zealand,4.0,120,21.45,White
Cocci Grifoni,Vigna Messieri Rosso Piceno Superiore 2016,Rosso Piceno,Italy,3.8,77,21.45,Red
De Grendel,Koetshuis Sauvignon Blanc 2021,Durbanville,South Africa,4.1,143,21.46,White
De Grendel,Shiraz 2019,Coastal Region,South Africa,4.1,378,21.46,Red
